Year, NumDeepfakePapers, NumDeepfakeEthicsPapers
2000, 3194825, 3195467
2001, 3385868, 3386666
2002, 3667076, 3667889
2003, 3991471, 3992497
2004, 4526587, 4527751
2005, 4880192, 4881486
2006, 5236653, 5238099
2007, 5659088, 5660620
2008, 6123537, 6125139
2009, 6594526, 6596070
2010, 7038482, 7040315
2011, 7467256, 7469109
2012, 7820983, 7822787
2013, 8206144, 8207971
2014, 8419942, 8421936
2015, 8649157, 8651075
2016, 8700248, 8702273
2017, 8255706, 8257552
2018, 8205111, 8206978
2019, 8366227, 8368076
2020, 8432825, 8434442
2021, 6983408, 6984485
2022, 4676906, 4677596